title,abstract,year,pmid,source,paperId,study_design,base_score,sample_size,evidence_score
mtor-driven autophagy suppression defines metabolic vulnerability in cdk4/6 inhibitor-resistant hr(+)/her2(-) breast cancer.,"breast cancer (bc) is the most prevalent malignancy in women, with hormone receptor-positive, her2-negative (hr(+)/her2(-)) tumors representing ~70% of cases. while cdk4/6 inhibitors (cdk4/6i) combined with endocrine therapy have transformed treatment for metastatic hr(+)/her2(-) bc, acquired resistance remains a major obstacle. using hr(+)/her2(-) bc models with acquired resistance to the cdk4/6 inhibitors palbociclib or ribociclib, we uncovered a metabolic vulnerability in highly resistant clones, mediated by mtorc1 hyperactivation and autophagy suppression. gene expression profiling revealed enrichment of glycolysis and mtorc1 pathways in cdk4/6i-resistant cells, which manifested as heightened sensitivity to the metabolic inhibitors metformin and dichloroacetate (dca). mechanistically, mtorc1 overactivation impaired autophagy via ulk1-ser757 phosphorylation, as confirmed by lc3 flux assays, leaving resistant cells unable to adapt to energy stress. treatment with metabolic drugs triggered ampk activation, acc inhibition, and parp cleavage, culminating in apoptosis. clinically, immunohistochemical analysis of a bc cohort revealed a significant correlation between mtorc1 activity (p4e-bp1(t37/46)) and autophagy suppression (p62 accumulation), supporting the translational relevance of this axis. our findings propose mtorc1-mediated autophagy defects as a biomarker for metabolic vulnerability in cdk4/6i-resistant bc, offering a rationale for targeting these tumors with metabolic therapies to overcome resistance.",2026 Feb 19,41714320.0,PubMed,,Undetermined / Default,4.0,-1,4.0
impact of type 2 diabetes on malignancies of the female reproductive system.,"type 2 diabetes mellitus (t2dm) contributes significantly to the development and progression of cancers of the female reproductive tissues, particularly endometrial, ovarian, and breast. hallmarks of t2dm, such as hyperinsulinemia, insulin resistance, and chronic low-grade inflammation, disrupt endocrine and metabolic homeostasis, promoting carcinogenesis through enhanced mitogenic signaling, hormonal dysregulation, and immune activation. t2dm can alter ovarian, endometrial, and mammary physiology by affecting estrogen/progesterone receptor activity, stromal remodeling, and specialized cell function. furthermore, give the fluctuations in a woman's hormonal levels and reproductive status, the presence of excess weight and t2dm may have altering risks depending on the lifecycle. these effects are exacerbated by adipose-derived cytokines and leptin resistance, further amplifying estrogens' bioavailability and pro-inflammatory signaling. endometrial cancer risk is nearly doubled in diabetic women, independent of body mass index, with hyperglycemia inducing pi3k/akt/mtor and nf-kappab pathway activation, reduced sex hormone-binding globulin (shbg) levels, and upregulation of estrogen receptor signaling. ovarian cancer in diabetic patients is associated with more aggressive histological subtypes, advanced-stage presentation, and poorer survival, likely driven by insulin-like growth factor 1 (igf-1) signaling, oxidative stress, and impaired treatment response. similarly, t2dm increases the risk and worsens outcomes in breast cancer via enhanced expression, age-rage interactions, and estrogen-independent eralpha activation. herein, we synthesize current epidemiological evidence and mechanistic insights to delineate the multifaceted relationship between t2dm and these cancers. despite increased risk, diabetic women often face underdiagnosis due to suboptimal screening practices. as t2dm prevalence rises globally, tailored cancer prevention and treatment strategies for diabetic populations are urgently needed. metformin has shown robust benefits in reducing t2dm-related complications and potential in the antineoplastic setting. this review underscores the endocrine and inflammatory mechanisms linking t2dm to cancers of the female reproductive system and advocates for integrated clinical protocols that include early screening and individualized management in diabetic women.",2026 Apr,41679247.0,PubMed,,Narrative Review / Editorial / Commentary,4.0,-1,4.0
weight loss patterns and clinical outcomes of glp1 receptor agonists in breast cancer survivors.,"the use of glucagon-like peptide-1 receptor agonists (glp1-ra) for weight loss is increasing; implications in breast cancer survivors remain unclear. this retrospective cohort study evaluated treatment patterns, weight loss, and outcomes in breast cancer survivors receiving glp1-ra at an academic institution. we evaluated patients with nonmetastatic [ductal carcinoma in situ (dcis), stage 1-3] breast cancer who received glp1-ra (2005-2024). linear regression models estimated associations between weight change and clinical factors. after excluding dcis, propensity score matching (1:2) was used to match patients who received glp1-ra with patients who did not, based on confounding covariates. kaplan-meier estimates and log-rank tests compared disease-free survival (dfs) and overall survival (os) between glp1-ra users versus nonusers in the subgroup with invasive disease. we identified 1,022 patients; 79% had type 2 diabetes mellitus. the median weight and body mass index at glp1-ra initiation were 86.8 kg (47.2-175 kg) and 33.5 kg/m2 (18.9-61.8 kg/m2). in semaglutide or tirzepatide users (442, 43.2%), the median weight change at 3, 6, and 12 months after glp1-ra initiation was -1.9% (-13.2% to 14.9%), -3.1% (-20.2% to 19%), and -2.6% (-27.8% to 11.5%), respectively. endocrine therapy and metformin use were associated with weight gain and loss, respectively; invasive disease stage was linked to greater weight loss. glp1-ra was not associated with dfs, but os significantly differed between glp1-ra users (n = 810) and nonusers (n = 1,620; hazard ratio, 0.37; 95% confidence interval, 0.27-0.53; p < 0.0001). in conclusion, in this real-world study in breast cancer survivors, glp1-ra was associated with modest weight loss and improved all-cause survival. clinical trials are warranted to study glp1-ra in this population. significance: this is the largest study describing real-world patterns of glp1 receptor agonists in breast cancer survivors. clinical trials should evaluate these agents for weight management as an adjunct to lifestyle interventions and the potential role in cancer control in breast cancer survivors.",2026 Mar 1,41677473.0,PubMed,,Clinical Trial (Phase I/II) / Prospective Cohort,8.0,810,8.5
unraveling ampk and bet regulation of immune checkpoint biology: implications for personalized medicine.,"triple negative breast cancer (tnbc) patients with comorbid type 2 diabetes (t2d) show worse survival compared to nondiabetic tnbc patients. immune checkpoint blockade (icb) has unclear benefit in tnbc. immune suppression in t2d, and use of metformin, an activator of 5' adenosine monophosphate-activated protein kinase (ampk), in such patients, prompted us to examine ampk regulation of immune checkpoint expression. improved icb efficacy may optimize outcomes for certain tnbc patients. we have also been exploring the role of bromodomain and extraterminal domain (bet) proteins (brd2, brd3, brd4) in regulation of checkpoint molecules in immune cell subsets, including cd4+, cd8+ t cells, and nk cells. bet proteins are important transcriptional co-regulators, critical for proliferation and metastasis in many cancer types, including tnbc. we observed differential bet regulation of immune checkpoint proteins, specifically tim-3, tigit, pd-1 and ctla-4, on alphacd3/alphacd28-stimulated peripheral blood mononuclear cells by flow cytometry. chemical inhibition of ampk with compound c, and with the pan-bet inhibitor jq1 or the brd4-selective protac inhibitor mz-1, revealed that bet proteins regulate pd-1 and ctla-4 through an ampk-dependent pathway and tim-3 and tigit through an ampk-independent pathway. personalized approaches to icb treatment of tnbc patients with comorbid t2d should improve outcomes.",2026 Jan 27,41659635.0,PubMed,,Undetermined / Default,4.0,-1,4.0
a robust rnai nanoplatform for precise activation of cgas-sting pathway and effective immune checkpoint blockade to potentiate cancer immunotherapy.,"activation of cyclic guanosine monophosphate-adenosine monophosphate synthase (cgas)-interferon gene stimulator (sting) pathway has demonstrated significant potential in cancer treatment due to its crucial role in bridging the innate and adaptive immunity. however, clinical attempts of current cgas-sting activating approaches remain challenged because of their undesired adverse effects and low therapeutic efficacy. we herein developed a new and robust immunostimulatory rna interfering (rnai) nanoplatform to potentiate breast cancer (bca) immunotherapy through precise activation of cgas-sting pathway and effective immune checkpoint blockade. this nanoplatform comprises the electrostatic complexes of small interfering rna (sirna) targeting oncogene coactivator-associated arginine methyltransferase 1 (carm1) and metformin prodrug. using orthotopic and metastatic bca tumors, we demonstrated this nanoplatform could suppress the proliferation of bca cells via sirna-mediated carm1 silencing and down-regulate programmed death-ligand 1 (pd-l1) expression via metformin-mediated ubiquitin-proteasome degradation. more importantly, due to the important role of oncogene carm1 in repairing damaged double stand dna (dsdna), carm1 silencing could specifically enhance the accumulation of damaged dsdna and cytosolic release of dsdna fragments to precisely activate the cgas-sting pathway in bca cells, which could thus promote their expression and secretion of interferon-beta (ifn-beta) to induce a significant inhibition of bca tumor growth via leveraging both the innate and adaptive immunity.",2026 Apr 10,41655906.0,PubMed,,Undetermined / Default,4.0,-1,4.0
cardioprotective effects of dapagliflozin against doxorubicin-induced cardiotoxicity in breast cancer patients with type 2 diabetes: a prospective study.,"aim: this study aimed to evaluate the risk of doxorubicin-induced cardiotoxicity in newly diagnosed breast cancer patients with type 2 diabetes receiving dapagliflozin in addition to metformin, using echocardiographic methods, and to investigate the potential cardioprotective effects of dapagliflozin. materials and methods: in this prospective observational study, a total of 60 newly diagnosed breast cancer patients with type 2 diabetes were enrolled. thirty patients who had been treated with metformin and subsequently received dapagliflozin in addition to metformin during doxorubicin therapy constituted the dapagliflozin group. the non-dapagliflozin group consisted of 30 patients who, while continuing metformin, were initiated on another oral antidiabetic agent (excluding dapagliflozin) alongside doxorubicin therapy. n-terminal pro-b type natriuretic peptide (nt-probnp), left ventricular ejection fraction (lvef), and left ventricular global longitudinal strain (lvgls) were measured at baseline and at the 3rd month of treatment. between-group baseline characteristics were compared using the independent samples t-test for continuous variables. within-group changes from baseline to 3 months were analyzed with paired t-tests. between-group comparisons of 3-month outcomes and changes (deltalvef, deltalvgls, deltant-probnp) were also conducted using independent samples t-tests. to evaluate the independent effect of dapagliflozin on lvgls, multivariable linear regression analysis was performed. model fit was reported with adjusted r(2), f-statistics and 95% confidence intervals. results: in the non-dapagliflozin group, lvef and nt-probnp levels showed no significant differences between baseline and post-treatment; however, lvgls values significantly deteriorated. in contrast, the dapagliflozin group demonstrated a significant increase in lvef (- 2.000 [95% ci - 2.392, - 1.608]) and lvgls (+ 1.367 [95% ci + 1.159, + 1.574]), as well as a marked reduction in nt-probnp levels (+ 64.933 [95% ci + 57.902, + 71.964]) after 3 months of treatment (p < 0.001). at the third month, the dapagliflozin group exhibited significantly better lvgls (+ 2.133 [95% ci + 1.346, + 2.921]) and lower nt-probnp levels (+ 57.000 [95% ci + 28.302, + 85.698]) compared with the non-dapagliflozin group (p < 0.001). multivariable linear regression analysis confirmed that dapagliflozin use was independently associated with significant improvement in lvgls at 3 months. conclusion: in conclusion, dapagliflozin was associated with more favorable short-term surrogate changes in lvgls and nt-probnp during doxorubicin therapy. the favorable changes observed in lvef, lvgls, and nt-probnp parameters suggest that dapagliflozin may be considered a potential cardioprotective agent and incorporated into preventive strategies against chemotherapy-related cardiotoxicity in diabetic patients. these hypothesis-generating findings require confirmation in larger randomized trials powered for clinical endpoints with longer follow-up. clinical trial registration: not applicable.",2026 Feb 7,41654775.0,PubMed,,Clinical Trial (Phase I/II) / Prospective Cohort,8.0,30,8.0
metformin-mediated glycaemic regulation as a potential strategy for breast cancer prevention.,"introduction: metformin, the common anti-hyperglycemic agent, is emerging with pharmacological significance as an effective anti-cancer modulator. its efficacy as an anti-cancer modulator is reported in pre-clinical and clinical studies. therefore, an attempt was made to identify the possible in vitro anti-cancer molecular mechanisms studied on breast cancer (bc) cell lines. methods: an advanced literature search was conducted in the pubmed database using search terms ""metformin, cell culture, breast neoplasms."" different anti-cancer molecular mechanisms induced by metformin (met) identified in cell culture studies are presented in this paper. results: it was identified that met induces molecular pathways that exert anti-cancer effects when treated on bc cells. inhibition of oxidative phosphorylation, adenosine monophosphate-activated protein kinase mediated anticancer effects, anti-proliferation and inhibition of cell migration, alteration of tumor micro-environment, synergetic effects with conventional chemotherapies and other potential molecules, induced apoptosis and ferroptosis were mainly identified as met-induced pathways that affect bc cells. conclusion: metformin induces diverse anti-cancer biochemical pathways through which it exhibits a potential to be used as an anti-cancer therapeutic in bc.",2026 Feb,41603225.0,PubMed,,Preclinical Study (In Vitro / In Vivo Animal),2.0,-1,2.0
the synergistic effects of rharg with bcl-2 inhibitors or metformin co-treatment in multiple cancer cell models.,"background: recombinant human arginase (rharg) has been proven to exhibit an anticancer effect via arginine starvation. to further improve the efficacy of rharg, we examined the feasibility of a combination strategy with bcl-2 inhibitors (abt263 and abt199) or an antidiabetic drug (metformin) and investigated the mechanistic basis for these strategies. methods: the combination effects were evaluated in a panel of human cancer cell lines modeling pancreatic ductal carcinoma (pdac), triple-negative breast cancer (tnbc), colorectal cancer (crc) and glioblastoma (gbm). western blot analysis was used to evaluate the expression of apoptotic and cell cycle markers. mtt assay was used to evaluate the combination efficacy. flow cytometric assays were used to investigate the apoptotic and cell cycle effects. results: the combination of rharg with sublethal doses of abt263 significantly induced dose-dependent apoptosis, with elevated expression of apoptotic markers and a ci of 0.47 in u251. the combination inhibited cdk2 and cyclin a expression, indicating that the observed synergy also resulted from cell cycle arrest. we also found that rharg + metformin was synergistic in a time-dependent manner. compared to other amino acid depletion agents, rharg + abt263 was the most favorable combination pair. conclusions: the combination of rharg and abt263 enhanced apoptosis and cell cycle arrest, demonstrating a potential broad-spectrum antitumor strategy.",2026 Jan 16,41597239.0,PubMed,,Preclinical Study (In Vitro / In Vivo Animal),2.0,-1,2.0
universal antibody-engineered lipid nanoparticles potentiate chemo-immunotherapy against triple-negative breast cancer by reprogramming tumor cell metabolism.,"despite the promise of combining chemotherapy and immunotherapy for triple-negative breast cancer (tnbc), challenges remain due to targeting deficiencies and accelerated t cell exhaustion within the immunosuppressive tumor microenvironment (tme). to address these limitations, we developed a drug-encapsulated lipid nanoparticle (lnp) system to reprogram tumor metabolism and reverse acquired immune tolerance. this lnp encapsulates the cytotoxic agent monomethyl auristatin e (ma) and the immunomodulator metformin (met), followed by conjugated to a human receptor tyrosine kinase-like orphan receptor 1 antibody (ror1 ab) via an acid-labile linker. ror1 ab-mediated active targeting enables precise tumor localization through nir-ii fluorescence imaging, and enhances chemotherapeutic efficacy while minimizing off-target toxicity. critically, metformin incorporated into the lipid formulation inhibits both membrane and cytoplasmic pd-l1 expression and reduces tgf-beta1 levels by suppressing mitochondrial oxidative phosphorylation (oxphos), thereby restoring t lymphocyte activity and amplifying the immune response. this work demonstrates a novel approach to enhance tnbc treatment through targeted modulation of tumor metabolism and immune activation.",2026 Apr,41591256.0,PubMed,,Undetermined / Default,4.0,-1,4.0
metformin-loaded fusogenic liposome improves the therapeutic efficacy and safety of doxorubicin in a breast cancer treatment.,"breast cancer is a tumor with high incidence and mortality rates worldwide. chemotherapeutic treatment consists of the systemic use of anticancer agents such as doxorubicin (dox). recently, metformin (met), an antidiabetic drug, has been studied as an adjuvant in cancer treatment due to its action on proteins that regulate cell proliferation. dox and met have distinct drug distribution and pharmacokinetic parameters. thus, strategies to equalize the delivery of these drugs to tumor tissue have been developed. in this context, liposomes are a promising alternative for increasing the effectiveness of cancer treatment with dox and met. this study aimed to prepare, characterize, and evaluate the antitumor activity of fusogenic liposomes containing dox or met. the liposomes were prepared by the bangham method and characterized physicochemically. the prepared nanosystems (lip-met and lip-dox) showed diameters of approximately 120 nm, polydispersity index lower than 0.3, zeta potential close to neutrality, and drug encapsulation content of 98.8% +/- 18.7 for lip-dox and 10.1% +/- 0.5 for lip-met. to evaluate the antitumor activity, 4t1 breast tumor-bearing mice were used as a model. once the tumor reached  approximately 100 mm(3), mice received four administrations (on days 1, 3, 5, and 7), each containing 5 mg/kg of dox and 15 mg/kg of met. a significant decrease in tumor volume was observed in animals treated with lip-dox + lip-met, compared to the other groups, evidenced by a tumor growth inhibition rate of 87.2%. it is also noteworthy that the lip-dox + lip-met treatment resulted in a significant decrease in lung and liver metastases. in these animals, 1-3 foci of lung metastases were observed, compared to control animals that reached 7-10 foci. in addition, 100% of the animals treated with free dox presented arrhythmias, while only 40% of the animals treated with lip-dox + lip-met presented these cardiac alterations. therefore, the coadministration of liposomes loading dox and met showed promise for increasing antitumor activity and safety in breast cancer treatment.",2025 Dec 9,41502615.0,PubMed,,Preclinical Study (In Vitro / In Vivo Animal),2.0,-1,2.0
gut microbiota in the regulation of intestinal drug transporters: molecular mechanisms and pharmacokinetic implications.,"gut microbiota, through both its species composition and its metabolites, impacts expression and activity of intestinal drug transporters. this phenomenon directly affects absorption process of orally administered drugs and contributes to the observed inter-individual variability in pharmacotherapeutic responses. this review summarizes mechanistic evidence from in vitro and animal studies and integrates clinical observations in which alterations in gut microbiota are associated with changes in oral drug exposure, consistent with potential regulation of key intestinal drug transporters-such as p-glycoprotein (p-gp, abcb1), breast cancer resistance protein (bcrp, abcg2), mrp2/3 proteins (abcc2/3), and selected organic anion-transporting polypeptides (oatps, e.g., slco1a2, slco2b1)-by major bacterial metabolites including short-chain fatty acids (scfas), secondary bile acids, and tryptophan-derived indoles. the molecular mechanisms involved include activation of nuclear and membrane receptors (pxr, fxr, ahr, tgr5), modulation of transcriptional and stress-response pathways (nrf2, ap-1) with simultaneous suppression of pro-inflammatory pathways (nf-kappab), and post-translational modifications (e.g., direct inhibition of p-gp atpase activity by eggerthella lenta metabolites). the review also highlights the pharmacokinetic implications of, e.g., tacrolimus, digoxin, and metformin. in conclusion, the significance of ""drug-transporter-microbiome"" interactions for personalized medicine is discussed. potential therapeutic interventions are also covered (diet, pre-/probiotics, fecal microbiota transplantation, modulation of pxr/fxr/ahr pathways). considering the microbiota as a ""second genome"" enables more accurate prediction of drug exposure, reduction in toxicity, and optimization of dosing for orally administered preparations.",2025 Dec 10,41465322.0,PubMed,,Narrative Review / Editorial / Commentary,4.0,-1,4.0
mtorc1 inhibition by metformin synergizes with dendrosomal nano-curcumin to induce apoptosis via modulation of pro- and anti-apoptotic proteins in breast cancer cells.,"breast cancer often carries a poor short-term prognosis because of its strong tendency for early distant metastasis and recurrence. effective treatment requires strategies that disrupt the anabolic pathways cancer cells use to overcome therapeutic resistance. in this study, we explored a synergistic combination of a well-tolerated anti-diabetic drug, metformin, which is in a phase iii clinical trial, and dendrosomal curcumin, dnc, to induce cell death in breast cancer mda-mb-231 and mcf-7 cells. intriguingly, metformin and dnc exhibited positive synergistic effects, increased anticancer toxicity through s-phase cell growth arrest, enhanced activation of caspases, reduced expression of bcl-2, ciap1, ciap2, and xiap proteins, and morphological and biological changes consistent with apoptosis. the mechanism behind this synergism in mda-mb-231 and mcf-7 cells was the result of a significantly higher ratio of bax to bcl-2 and the dramatic upregulation of active caspase-3, concomitant with the downregulation of xiap. in addition to downregulation of anti-apoptotic proteins and upregulation of pro-apoptotic proteins, mtorc1 signaling was effectively hindered in the cells exposed to the drugs. thus, induction of apoptosis by a combination of metformin and dnc in mda-mb-231 and mcf-7 cells is accompanied by the inhibition of anabolic pathways mediated by mtor complex i.",2025 Dec 26,41452530.0,PubMed,,Randomized Controlled Trial (Phase III/IV),9.0,-1,8.5
characteristic glycemic patterns during capivasertib treatment identified by continuous glucose monitoring: a case report.,"we herein report a case of hyperglycemia in a patient with recurrent breast cancer treated with the akt inhibitor capivasertib. continuous glucose monitoring revealed a distinctive pattern characterized by pronounced daytime postprandial hyperglycemia and nocturnal-to-morning decline, which resolved during the drug-free intervals. hyperglycemia was unresponsive to metformin treatment but was markedly exacerbated by intravenous glucose infusion. these findings suggest that capivasertib-induced hyperglycemia is caused by an impaired glucose uptake and dysregulated hepatic glucose output associated with akt inhibition. careful glycemic monitoring and individualized management are necessary in patients receiving akt inhibitors.",2025 Dec 18,41407340.0,PubMed,,Case Report / Case Study,3.0,-1,3.0
metformin and its derivatives in breast cancer: from glycaemic control to tumor-intrinsic pathways.,"background: breast cancer (bc) remains the most commonly diagnosed malignancy among women worldwide, with metabolic dysregulation of glucose and hyperinsulinemia increasingly recognised as contributors to its development and progression. however, despite accumulating evidence linking metabolic imbalances to tumorigenesis, the precise therapeutic opportunities arising from targeting these metabolic pathways remain insufficiently defined. objective: to explore the potential of metformin and its derivatives, in combination with other anticancer agents, to suppress bc cell proliferation by targeting glucose metabolism. results: preclinical and epidemiological evidence indicates that metformin may reduce bc incidence and improve survival, with particularly pronounced benefits observed in triple-negative and human epidermal growth factor receptor 2(her2) positive subtypes, especially when used in combination with chemotherapy or targeted therapies. the drug's anticancer potential is mediated through both systemic and tumor-intrinsic mechanisms. systemically, metformin enhances insulin sensitivity and suppresses hepatic glucose production, thereby lowering circulating insulin and igf-1 levels and attenuating growth factor-driven proliferation. at the tumor level, it activates amp-activated protein kinase, inhibits the mammalian target of rapamycin pathway, disrupts mitochondrial oxidative phosphorylation, and induces apoptosis through metabolic stress. in addition, novel biguanide derivatives have demonstrated superior antitumor efficacy by inducing cell-cycle arrest at the g0/g1 and g2/m phases and inhibiting cancer cell migration, underscoring the therapeutic promise of structural modifications. however, despite these encouraging findings, restuls from large clinical trials have been inconsistent, particularly in non-diabetic populations, and the extent to which metformin's metabolic effects translate into direct oncologic benefit remains unclear. importantly, elevated systemic insulin and igf-1 remain key drivers of mitogenic and anti-apoptotic signaling in breast epithelial cells, reinforcing the rationale for targeting metabolic vulnerabilities in bc prevention and therapy. conclusion: metformin and its derivatives exert dual anticancer effects by modulating systemic insulin signaling and targeting tumor-intrinsic pathways. nevertheless, inconsistencies between preclinical efficacy and clinical outcomes highlight the need for biomarker-guided approaches and deeper investigation into tumour-specific metabolic contects. these complementary mechanisms highlight their potential in precision bc therapy, warranting biomarker-driven studies and optimized therapeutic combinations.",2025 Dec 12,41388552.0,PubMed,,Clinical Trial (Phase I/II) / Prospective Cohort,8.0,-1,7.5
a prognostic model for breast cancer survival based on pcd and m6a gene interactions.,"introduction: breast cancer (bc) is the most prevalent malignancy in women, with patient outcomes heavily influenced by complex molecular mechanisms like programmed cell death (pcd) and rna methylation. while some studies have investigated how specific pcd types and n6-methyladenosine-related genes (m6a-rgs) are associated with breast cancer, the research on combined pcd mechanisms and their role in breast cancer development is limited. this study integrates pcd-related genes (pcd-rgs) and m6a-rgs to offer new insights for breast cancer clinical treatment. methods: transcriptomic data and related genes were respectively retrieved from public databases and published literature. first, pcd-m6a genes identified through the correlation scoring and differentially expressed genes were intersected to obtain candidate genes. furthermore, to infer potential causal relationships between gene expression and survival, we applied a two-sample mendelian randomization approach using summary-level data from public databases. therefore, prognostic genes were further obtained through mendelian randomization and regression analyses, and a prognostic model was then constructed. additionally, functional enrichment, immune infiltration, and drug sensitivity analyses were conducted. finally, the expression intensity of prognostic genes was verified by rt-qpcr and ihc. results: through a series of analyses, seven prognostic genes were identified. following this, the prognostic model has been demonstrated to have a certain degree of accuracy as indicated by both transcriptomic public sets. successively, enrichment analysis revealed numerous pathways, among which herpes simplex virus 1 infection was notable; its relevance lies in overlapping immune evasion pathways with bc, a core focus of our investigation. immune cell infiltration analysis revealed that 11 immune cell types, including m1 macrophages, exhibited significant differences between high and low groups. a key finding from drug sensitivity analysis was that the high-risk group exhibited significantly increased sensitivity to several drugs, including cct018159, rapamycin, vinblastine, metformin, and roscovitine. the expression levels of myd88, daxx and anxa5 were significantly upregulated in the control samples compared to breast cancer samples. moreover, the expression levels of sesn3, crip1, dpp4 and pik3ca were significantly upregulated in breast cancer samples compared to control samples. discussion: this study constructed a risk model based on seven prognostic genes, offering new potential strategies for breast cancer therapy.",2025,41357233.0,PubMed,,Undetermined / Default,4.0,-1,4.0
metformin with neoadjuvant chemotherapy in localized triple-negative and her2neu-positive breast cancer: a prospective phase 2 open-label randomized controlled trial (mcbeth).,"purpose: her2-positive and triple-negative breast cancers (tnbc) are aggressive subtypes with poor outcomes. metformin, a commonly used antidiabetic agent, has demonstrated anticancer potential in preclinical studies. this trial evaluated whether the addition of metformin to neoadjuvant chemotherapy (nact) improves pathological complete response (pcr) rates in nondiabetic patients with localized her2-positive or tnbc. patients and methods: in this open-label, phase 2 randomized controlled trial, 242 chemotherapy-naive, nondiabetic women aged 18-65 years with localized, resectable her2-positive or tnbc were randomized 1:1 to receive standard nact with or without metformin (850 mg orally twice daily until surgery). the primary endpoint was pcr (ypt0/ypn0). secondary endpoints included subgroup pcr rates, clinical response, breast-conserving surgery rates, adverse events, patient-reported outcomes (esas-r), and cognitive function (fact-cog v3). results: a total of 112 patients in the metformin arm and 115 in the standard arm underwent surgery and were included in the efficacy analysis. the metformin group had a higher proportion of advanced t3/t4 tumors (55.4% vs. 42.3%). overall pcr rates were 43.7% in the metformin group and 41.7% in the control group (p = .75). in the her2-positive subgroup, pcr was higher with metformin (46.3% vs. 36.5%, p = .27). breast-conserving surgery rates, clinical response, and patient-reported outcomes were similar between groups. metformin was well tolerated; fewer patients experienced peripheral neuropathy (37.2% vs. 45.5%), but diarrhea was more frequent (26.6% vs. 10.7%). conclusion: metformin did not significantly improve pcr when added to standard nact. however, trends in her2-positive patients and reduced neuropathy merit further investigation.",2025 Dec 15,41348549.0,PubMed,,Randomized Controlled Trial (Phase III/IV),9.0,112,9.5
metformin enhances alpelisib sensitivity in her2+ breast cancer by suppressing cancer stemness and oncogenic signaling.,"introduction: alpelisib, a selective pi3kalpha inhibitor that targets pik3ca mutations, is approved for hormone receptor-positive, her2-negative breast cancer. however, its therapeutic potential in her2-positive disease remains underexplored. hyperglycemia, a frequent adverse event of alpelisib, limits its clinical application. metformin, an antidiabetic drug with reported anticancer activity, may counteract alpelisib-induced hyperglycemia while enhancing its antitumor efficacy. methods: we evaluated the effects of alpelisib alone and in combination with metformin in her2-overexpressing breast cancer cell lines sk-br-3 and bt-474. cell viability, colony formation, and tumorsphere assays were performed to assess proliferation and stemness. flow cytometry was used to analyze aldh1-positive cell populations and cell-cycle distribution. synergy was determined using the combination index method. western blotting examined the effects on signaling pathways and stemness-associated proteins. results: alpelisib monotherapy inhibited proliferation, colony formation, and cancer stem cell features in both cell lines. metformin enhanced these effects, demonstrating strong synergism. combination treatment induced significant g0/g1 cell-cycle arrest, reduced aldh1(+) populations, and decreased tumorsphere formation. mechanistically, co-treatment broadly suppressed receptor tyrosine kinase-mediated signaling, augmenting inhibition of pi3k/akt/mtor, mapk/erk, and jak/stat pathways, along with downregulation of c-myc. stemness-related proteins including beta-catenin, nanog, sox2, klf4, and lgr5 were also markedly reduced. discussion: these findings indicate that metformin synergistically enhances the antitumor activity of alpelisib in her2-positive breast cancer by inhibiting oncogenic signaling and stemness pathways. beyond its metabolic benefit in mitigating hyperglycemia, metformin may potentiate pi3k-targeted therapies, supporting further preclinical and clinical evaluation of this combination strategy.",2025,41347072.0,PubMed,,Preclinical Study (In Vitro / In Vivo Animal),2.0,-1,2.0
niosomal co-delivery of metformin and telaglenastat: a targeted nanotherapeutic strategy for breast cancer treatment and metastasis suppression in 2d and 3d models.,"overexpression of glucose transporter-1 (glut-1) and glutaminase-1 (gls-1) underlies the metabolic dependence of breast cancer cells on glucose and glutamine. exploiting this vulnerability, a dual-drug niosomal delivery system was developed for the encapsulation of metformin (met) and telaglenastat (tel) to concurrently modulate these metabolic pathways. the optimized formulation, prepared at a cholesterol:span 60 ratio of 1:1, exhibited nanosized vesicles (79.7-494.6 nm) with low polydispersity (pdi < 0.3), confirming a uniform and suitable size distribution for efficient cellular uptake. the encapsulation efficiency (ee%) was high for both agents, notably 84.34 % for tel and 67.93 % for met. flow-cytometric profiling revealed elevated glut-1 and gls-1 expression relative to unstained controls, validating the rationale for dual-pathway targeting. functionally, the niosomal formulations outperformed free and single-drug treatments across both two- and three-dimensional models. in 3d spheroids, free tel (200 microm) and free met (200 mm) resulted in cell viabilities of 44.97 % and 54.00 %, respectively, whereas tel-np and met-np reduced viability to 9.49 % and 22.14 %, representing 4.7-and 2.4-fold enhancements in cytotoxic efficacy. the dual formulation promoted extensive spheroid disintegration and maintained intratumoral penetration for up to 72 h. in wound-healing assays, significant inhibition of migration was observed, with residual wound areas of 97.07 % (met-np), 87.43 % (tel-np), and 93.49 % (combined met-np + tel-np). metabolic analyses further substantiated the mechanistic effect of dual inhibition. glutamine-glutamate quantification demonstrated a marked shift from the untreated profile (glutamate 87.77 % / glutamine 12.23-59.89 % / 40.11 %) following combined nanoparticle treatment, consistent with suppression of gls-1-mediated glutaminolysis. correspondingly, ros-glo h(2)o(2) assays revealed decreased intracellular hydrogen peroxide in all treated groups, with the most pronounced reduction observed in the dual-np combination, indicating attenuation of oxidative stress and restoration of redox balance. in conclusion, coordinated inhibition of glut-1- and gls-1-driven metabolism via met/tel-loaded niosomes achieves enhanced cytotoxicity, durable spheroid penetration, and strong anti-migratory and metabolic modulatory effects. this stable co-delivery platform represents a promising nanotherapeutic strategy to overcome metabolic adaptability and treatment resistance in breast cancer.",2025 Dec,41344098.0,PubMed,,Undetermined / Default,4.0,-1,4.0
